11/06/2025 09:49:19.895 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: e3g3
11/06/2025 09:49:31.654 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (g7e5) to lichess
11/06/2025 09:49:32.214 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:49:32.216 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: g7e5
11/06/2025 09:49:36.154 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:49:36.156 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: g3d3
11/06/2025 09:50:33.342 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (h8f8) to lichess
11/06/2025 09:50:33.938 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:50:33.946 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: h8f8
11/06/2025 09:50:38.969 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:50:38.971 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: g2g3
11/06/2025 09:51:11.393 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (f7f5) to lichess
11/06/2025 09:51:11.954 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:51:11.956 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f7f5
11/06/2025 09:51:16.543 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
